"gender (unisex, girl, boy)",pronunciation,name,ja/eng,"characteristics(smart, genki, respect, strength, kind, beauty)",Meaning (skip for now),famous name (fiction and real)
unisex,ジェシー,Jesse,,"respect, strength","wealthy, god exists",
unisex,クリス,Kris,,"respect, strength",christ bearer,Kris Jenna
unisex,クイン,Quinn,,"Smart, strength","Wise, intelligent",
boy,エイデン,Aiden,y,strength,Fire,
boy,べん,Ben,y,genki,Right-hand son,
boy,ベンジャミン,Benjamin,,genki,Right-hand son,
boy,ブライアン,Brian,,strength,strong one,
boy,デニス,Dennis,,genki,"wild, frenzied",
boy,デレック,Derek,,"strength, respect, smart",gifted ruler,
boy,エリック,Eric,,"strength, respect, kind",honorable ruler,
boy,ヘンリー,Henry,,"strength, respect",Ruler of the home,
boy,グラント,Grant,,"strength, beauty","great, tall",
boy,ジョージュ,George,,kind,farmer,George Cooney
boy,イアン,Ian,,"respect, kind","gift from god, gracious",
boy,アイザックス,Issac,,genki,laughter ,
boy,アイヴァン,Ivan,,"respect, kind","gift from god, god is good",
boy,ジェームス,James,,strength,"supplant, replace",
unisex,ジェイデン,Jayden,,"strength, kind",god has heard,
boy,ジェイ,Jay,,"genki, beauty","swift, bird (bluejay), to rejoice",
boy,ジェフ,Jeff,,"beauty, kind, respect","divine, peaceful",
boy,ジミー,Jimmy,,strength,"supplant, replace",
boy,ジョン,John,,"respect, kind","gracious, merciful",
boy,ケン,Ken,,"strength, beauty, genki, respect","handsome, strong, physically healthy, royal obligation",
boy,マイクル,Michael,,"genki, respect, strength",like god,
boy,マイク,Mike,,"genki, respect, strength",like god,
boy,ノア,Noah,,"kind, respect","rest, peace, long-lived",
boy,レイ,Ray,,"smart, beauty, kind","wise protector, grace, counselor, royal",
boy,レーオ,Leo,,strength ,lion,
boy,ルーク,Luke,,genki,light,
boy,ポール,Paul,,"respect, kind","little, small",
boy,サミュエル,Samuel,,"strength, respect","god hears, name of god",
boy,サイミーン,Simon,,"strength, respect",it is heard,
boy,ショーン,Sean,,"respect, kind",gracious,
boy,スティーブン,Stephen,,"smart, respect","crown, wreath",Stephen Hawking
boy,スティーブ,Steve,,smart; respect,"crown, wreath",Steve Job
boy,ティム,Tim,,respect,to honor god,
boy,トーマス,Thomas,,"kind, respect",twin (origin: nickname to differentiate Judah from the other Judah),
boy,トニー,Tony,,"genki, respect","worthy of praise, thriving",
boy,ウィリアム,Wiliam,,"strength, kind",protector,
boy,ウェスリー,Wesley,,beauty,west meadow,
boy,ザック,Zack,,respect,the lord remembers,
boy,ザッカーリー,Zachary,,respect,the lord remembers,
